,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2021-12-21,09:30,09:30 AM,151.2,150.8,151.13,151.2,150.917,144,21732.03,4,A
1,2021-12-21,09:31,09:31 AM,151.43,151.43,151.43,151.43,151.43,2,302.86,1,A
2,2021-12-21,09:32,09:32 AM,151.25,151.15,151.25,151.22,151.22,181,27370.76,6,A
3,2021-12-21,09:33,09:33 AM,151.53,151.345,151.345,151.53,151.455,168,25444.46,2,A
4,2021-12-21,09:34,09:34 AM,151.375,151.29,151.375,151.29,151.354,134,20281.43,3,A
5,2021-12-21,09:35,09:35 AM,151.29,151.19,151.26,151.29,151.213,97,14667.7,6,A
6,2021-12-21,09:36,09:36 AM,,,,,,0,0.0,0,A
7,2021-12-21,09:37,09:37 AM,151.5,151.5,151.5,151.5,151.5,13,1969.5,1,A
8,2021-12-21,09:38,09:38 AM,151.43,151.43,151.43,151.43,151.43,100,15143.0,1,A
9,2021-12-21,09:39,09:39 AM,151.74,151.41,151.41,151.74,151.542,119,18033.565,6,A
10,2021-12-21,09:40,09:40 AM,,,,,,0,0.0,0,A
11,2021-12-21,09:41,09:41 AM,151.74,151.65,151.65,151.74,151.673,31,4701.87,2,A
12,2021-12-21,09:42,09:42 AM,151.75,151.5,151.75,151.5,151.571,35,5305.0,4,A
13,2021-12-21,09:43,09:43 AM,,,,,,0,0.0,0,A
14,2021-12-21,09:44,09:44 AM,,,,,,0,0.0,0,A
15,2021-12-21,09:45,09:45 AM,,,,,,0,0.0,0,A
16,2021-12-21,09:46,09:46 AM,151.305,151.305,151.305,151.305,151.305,93,14071.365,1,A
17,2021-12-21,09:47,09:47 AM,,,,,,0,0.0,0,A
18,2021-12-21,09:48,09:48 AM,152.0,152.0,152.0,152.0,152.0,1,152.0,1,A
19,2021-12-21,09:49,09:49 AM,151.55,151.55,151.55,151.55,151.55,50,7577.5,3,A
20,2021-12-21,09:50,09:50 AM,151.32,151.32,151.32,151.32,151.32,17,2572.44,2,A
21,2021-12-21,09:51,09:51 AM,151.49,151.49,151.49,151.49,151.49,218,33024.82,4,A
22,2021-12-21,09:52,09:52 AM,151.695,151.67,151.695,151.67,151.678,30,4550.35,2,A
