,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
0,A,Agilent Technologies Inc.,stocks,us,XNYS,CS,True,usd,0001090872,BBG000BWQYZ5,BBG001SCTQY4,2022-01-26T00:00:00Z
1,AA,Alcoa Corporation,stocks,us,XNYS,CS,True,usd,0001675149,BBG00B3T3HD3,BBG00B3T3HF1,2022-01-26T00:00:00Z
2,AAC,Ares Acquisition Corporation,stocks,us,XNYS,CS,True,usd,0001829432,,,2022-01-26T00:00:00Z
3,AACI,Armada Acquisition Corp. I Common Stock,stocks,us,XNAS,CS,True,usd,0001844817,BBG011XR7306,BBG011XR7315,2022-01-26T00:00:00Z
4,AADI,"Aadi Bioscience, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001422142,BBG002WN7DT2,BBG002WN7DV9,2022-01-26T00:00:00Z
5,AAIC,Arlington Asset Investment Corp.,stocks,us,XNYS,CS,True,usd,0001209028,BBG000BD1373,BBG001S6DRN4,2022-01-26T00:00:00Z
6,AAL,American Airlines Group Inc.,stocks,us,XNAS,CS,True,usd,0000006201,BBG005P7Q881,BBG005P7Q907,2022-01-26T00:00:00Z
7,AAMC,Altisource Asset Mgmt Corp,stocks,us,XASE,CS,True,usd,0001555074,BBG003PNL136,BBG003PNL145,2022-01-26T00:00:00Z
8,AAME,Atlantic American Corp,stocks,us,XNAS,CS,True,usd,0000008177,BBG000B9XB24,BBG001S5N8T1,2022-01-26T00:00:00Z
9,AAN,"The Aaron's Company, Inc.",stocks,us,XNYS,CS,True,usd,0001821393,BBG00WCNDCZ6,BBG00WCNDDH4,2022-01-26T00:00:00Z
10,AAOI,"Applied Optoelectronics, Inc.",stocks,us,XNAS,CS,True,usd,0001158114,BBG000D6VW15,BBG001SG47G4,2022-01-26T00:00:00Z
11,AAON,Aaon Inc,stocks,us,XNAS,CS,True,usd,0000824142,BBG000C2LZP3,BBG001S6CZK0,2022-01-26T00:00:00Z
12,AAP,ADVANCE AUTO PARTS INC,stocks,us,XNYS,CS,True,usd,0001158449,BBG000D64B66,BBG001SD2SB2,2022-01-26T00:00:00Z
13,AAPL,Apple Inc.,stocks,us,XNAS,CS,True,usd,0000320193,BBG000B9XRY4,BBG001S5N8V8,2022-01-26T00:00:00Z
14,AAQC,Accelerate Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001838883,BBG00ZJX1XB3,BBG00ZJX1XD1,2022-01-26T00:00:00Z
15,AAT,"AMERICAN ASSETS TRUST, INC.",stocks,us,XNYS,CS,True,usd,0001500217,BBG00161BCR0,BBG001TCBJS5,2022-01-26T00:00:00Z
16,AATC,Autoscope Technologies Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000943034,BBG011MC2100,BBG011MC2119,2022-01-26T00:00:00Z
17,AAU,Almaden Minerals Ltd.,stocks,us,XASE,CS,True,usd,0001015647,BBG000DBZ8W9,BBG001S7VVD4,2022-01-26T00:00:00Z
18,AAWW,"Atlas Air Worldwide Holdings, Inc.",stocks,us,XNAS,CS,True,usd,0001135185,BBG000Q57YP0,BBG001SM7BG9,2022-01-26T00:00:00Z
19,AB,"AllianceBernstein Holding, L.P.",stocks,us,XNYS,CS,True,usd,0000825313,BBG000B9WM03,BBG001S5N9S0,2022-01-26T00:00:00Z
20,ABBV,ABBVIE INC.,stocks,us,XNYS,CS,True,usd,0001551152,BBG0025Y4RY4,BBG0025Y4RZ3,2022-01-26T00:00:00Z
21,ABC,AmerisourceBergen Corp.,stocks,us,XNYS,CS,True,usd,0001140859,BBG000GMF8Q1,BBG001S8X7P0,2022-01-26T00:00:00Z
22,ABCB,Ameris Bancorp,stocks,us,XNAS,CS,True,usd,0000351569,BBG000CDY3H5,BBG001S80PX7,2022-01-26T00:00:00Z
23,ABCL,AbCellera Biologics Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001703057,BBG00LLW2MF2,BBG00LLW2MH0,2022-01-26T00:00:00Z
24,ABEO,Abeona Therapeutics Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0000318306,BBG000DT5D52,BBG001S8T7K0,2022-01-26T00:00:00Z
25,ABG,"Asbury Automotive Group, Inc.",stocks,us,XNYS,CS,True,usd,0001144980,BBG000BKBC30,BBG001S9B5H5,2022-01-26T00:00:00Z
26,ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001833764,,,2022-01-26T00:00:00Z
27,ABIO,"ARCA biopharma, Inc.",stocks,us,XNAS,CS,True,usd,0000907654,BBG000BWNN28,BBG001SB1GL2,2022-01-26T00:00:00Z
28,ABM,"ABM Industries, Inc.",stocks,us,XNYS,CS,True,usd,0000771497,BBG000B9YYH7,BBG001S5N9B8,2022-01-26T00:00:00Z
29,ABMD,Abiomed Inc,stocks,us,XNAS,CS,True,usd,0000815094,BBG000C101X4,BBG001S64SQ9,2022-01-26T00:00:00Z
30,ABNB,"Airbnb, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001559720,BBG001Y2XS07,BBG001Y2XS16,2022-01-26T00:00:00Z
31,ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001576885,BBG0058YJ317,BBG0058YJ326,2022-01-26T00:00:00Z
32,ABR,"Arbor Realty Trust, Inc.",stocks,us,XNYS,CS,True,usd,0001253986,BBG000KMVDV1,BBG001SJP3G4,2022-01-26T00:00:00Z
33,ABSI,Absci Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001672688,BBG011N54CJ8,BBG011N54DC3,2022-01-26T00:00:00Z
34,ABST,Absolute Software Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001071058,BBG000C15RW3,BBG001SD56D5,2022-01-26T00:00:00Z
35,ABT,Abbott Laboratories,stocks,us,XNYS,CS,True,usd,0000001800,BBG000B9ZXB4,BBG001S5N9M6,2022-01-26T00:00:00Z
36,ABTX,"Allegiance Bancshares, Inc.",stocks,us,XNAS,CS,True,usd,0001642081,BBG000BNYLL9,BBG001SQHRC8,2022-01-26T00:00:00Z
37,ABUS,Arbutus Biopharma Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001447028,BBG000R8YZM3,BBG001S6RSK0,2022-01-26T00:00:00Z
38,ABVC,"ABVC BioPharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001173313,BBG000Q844Z2,BBG001SMCS49,2022-01-26T00:00:00Z
39,AC,"Associated Capital Group, Inc.",stocks,us,XNYS,CS,True,usd,0001642122,BBG008NZ8QC0,BBG008NZ8QB1,2022-01-26T00:00:00Z
40,ACA,"Arcosa, Inc. Common Stock",stocks,us,XNYS,CS,True,usd,0001739445,BBG00JGMWFM9,BBG00JGMWGB9,2022-01-26T00:00:00Z
41,ACAD,Acadia Pharmaceuticals Inc.,stocks,us,XNAS,CS,True,usd,0001070494,BBG000BHG9K0,BBG001SB06N3,2022-01-26T00:00:00Z
42,ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001836274,BBG00Z9FJV00,BBG00Z9FJVV6,2022-01-26T00:00:00Z
43,ACAQ,Athena Consumer Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001869141,BBG011Y74LF6,BBG011Y74LG5,2022-01-26T00:00:00Z
44,ACB,Aurora Cannabis Inc. Common Shares,stocks,us,XNAS,CS,True,usd,0001683541,BBG000RSS169,BBG001SV77D1,2022-01-26T00:00:00Z
45,ACBA,Ace Global Business Acquisition Limited Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001844389,,,2022-01-26T00:00:00Z
